	Ref	Google Before	Google After	TER
162	“[바 장관이] 막나가기 시작했다”라고 펠로시 의장이 금요일 MSNBC에서 말했다.	"""[Barr가있다]가 불량배""라고 Pelosi는 MSNBC 금요일을 말했습니다."	"""[Barr가있다]가 불량배""라고 Pelosi는 MSNBC 금요일을 말했습니다."	0.0
163	“내 생각에 그들은 은폐 사실을 은폐하려는 것 같다.	나는 그들이 어디로 가는지는 표지의 표지 인 것입니다.	나는 그들이 어디로 가는지는 표지의 표지 인 것입니다.	0.0
164	법무부가 그런 식으로 막나가다니 슬픈 일이다.	나는 그것이 슬프다고 생각합니다. 정의 부서가 너무 불량배가되어 있습니다.	나는 그것이 슬프다고 생각합니다. 정의 부서가 너무 불량배가되어 있습니다.	0.0
165	뭐, 한동안은 그래왔다. 근데 이제는 그게 상황을 더욱 악화시키고 있다.”	글쎄, 그들은 잠시 동안 왔습니다. 그리고 이제는 사안을 더욱 악화시킵니다.	글쎄, 그들은 잠시 동안 왔습니다. 그리고 이제는 사안을 더욱 악화시킵니다.	0.0
166	펠로시 의장은 트럼프 대통령이 우크라이나에 군사 지원을 요청했던 사실을 은폐했었다고 시인하자 이번 주에 공식적인 탄핵 조사를 발표했다.	펠로시 (Pelosi)는 트럼프가 우크라이나에 군사 원조를 보류 한 후에 공식 탄핵 수사를 발표했다.	펠로시 (Pelosi)는 트럼프가 우크라이나에 군사 원조를 보류 한 후에 공식 탄핵 수사를 발표했다.	0.0
167	결과적으로 우크라이나의 지원은 받았었지만, 하원 민주당원들이 알고 싶어하는 것은 그 군사적 지원과 트럼프가 당시 5년간 한 우크라이나 가스 회사에서 근무 중이던 헌터 바이든에 대한 조사를 젤렌스키 대통령에게 의뢰한 사건 사이의 연관성이다.	이 원조는 궁극적으로 부여되었지만 하우스 민주당은 Zelensky를 5 년 동안 우크라이나 가스 회사에서 일하는 사냥꾼 Biden을 조사하기 위해 Zelensky를 요구하는지 여부를 알고 싶어합니다.	이 원조는 궁극적으로 부여되었지만 하우스 민주당은 Zelensky를 5 년 동안 우크라이나 가스 회사에서 일하는 사냥꾼 Biden을 조사하기 위해 Zelensky를 요구하는지 여부를 알고 싶어합니다.	0.0
168	또한 금요일에는 300명에 달하는 전직 미국 대외 정책 및 국가안보 관계자들이 탄핵 조사를 지지하는 서한에 서명했다.	또한 금요일, 거의 300 명의 전 미국 외교 정책과 국가 안보 공무원이 탄핵 조사를 지원하는 서한에 서명했다.	또한 금요일, 거의 300 명의 전 미국 외교 정책과 국가 안보 공무원이 탄핵 조사를 지원하는 서한에 서명했다.	0.0
169	"이 집단은 트럼프의 행위가 심각한 국가안보 문제""라고 말했다."	"연합성은 트럼프의 행동이 ""심오한 국가 안보 문제""를 구성한다고 말했다."	"연합성은 트럼프의 행동이 ""심오한 국가 안보 문제""를 구성한다고 말했다."	0.0
170	"이 서한에는 ""우리가 이 중요한 길을 걷을 수 있게 해준 펠로시 의장을 비롯한 하원의원들에게 찬사를 보낸다""라고 적혀 있다."	"""우리는 필요한 경로를 우리를 시작한 연사 펠로시 (Pelosi)를 포함하여 회원들의 회원들에게 박수를 보냈다."	"""우리는 필요한 경로를 우리를 시작한 연사 펠로시 (Pelosi)를 포함하여 회원들의 회원들에게 박수를 보냈다."	0.0
171	트럼프 대통령은 미국 최고 지위인 대통령으로써의 권력과 자원을 이용하여 우리나라의 민주적인 절차에 외세가 개입하게 했다.	트럼프 대통령은 땅에서 가장 높은 사무실의 권위와 자원을 활용하여 민주적 과정에 추가적인 외국 간섭을 초래 한 것으로 보입니다.	트럼프 대통령은 땅에서 가장 높은 사무실의 권위와 자원을 활용하여 민주적 과정에 추가적인 외국 간섭을 초래 한 것으로 보입니다.	0.0
172	이는 몰지각한 권력 남용이다.”	그건 힘의 불확실한 남용을 구성 할 것입니다.	"그것은 힘의 불능의 남용을 구성 할 것입니다. """	0.375
173	또한 이는 대통령 개인의 정치적 이익 때문에 미국의 (그리고 우리와 가장 가까운 동맹국들 및 파트너 국가들의) 국익을 경시하려는 행위이다.”	"""그것은 또한 미국의 국가 이익과 우리의 가장 가까운 동맹국과 파트너의 사람들을 대통령의 개인적인 정치적 이익을 위해 노력할 것입니다."""	"""그것은 또한 미국의 국가 이익과 우리의 가장 가까운 동맹국과 파트너의 사람들을 대통령의 개인적인 정치적 이익을 위해 노력할 것입니다."""	0.0
174	트럼프 대통령은 당시 전화통화에 부적절한 부분은 없었다며 부인했다.	트럼프는 전화 통화에 부적절한 흥미가 있음을 거부했습니다.	트럼프는 전화 통화에 부적절한 흥미가 있음을 거부했습니다.	0.0
175	그리고 금요일, 그는 이 신고서를 맹렬히 비판하면서 젤렌스키 대통령과 통화하며 “완벽한 대화”를 했다고 거듭 밝혔다.	"금요일, 그는 신청인을 비난했고 Zelensky와의 전화가 ""완벽한 대화""라고 말했습니다."	"금요일, 그는 신청인을 비난했고 Zelensky와의 전화가 ""완벽한 대화""라고 말했습니다."	0.0
176	“소위 내부 고발자라는 자가 점점 더 내부 고발자가 전혀 아닌 것 같다”라고 그는 트위터에 올렸다.	"""소위 휘파람 송풍기가 점점 더 많이 들리고 휘파람 송풍기가 전혀 휘젓는 것이 아닙니다.""그는 Tweeted."	"""소위 휘파람 송풍기가 점점 더 많이 들리고 휘파람 송풍기가 전혀 휘젓는 것이 아닙니다.""그는 Tweeted."	0.0
177	“게다가 전부 간접적으로 얻은 그의 정보가 불명확한 것으로 드러나고 있어서 그/그녀에게 정보를 제공하는 기밀 누설자나 스파이가 배후에 있는 게 아닌가?	또한, 다른 누군가가 없을 수도 있고, 누출이나 스파이가 그 또는 그녀에게 먹이를주지 못했던 모든 간접적 인 정보는 무엇인가?	"""또한 다른 누군가가 없었던 누군가가 없었던 누군가 또는 스파이가 없을 수도있는 모든 간접적 인 정보가 그 또는 그녀에게 먹이를주지 못했습니다."	0.55
178	혹은 정치 공작원?”	당파 수술 가능?	"당파인 수술 가능? """	0.5
179	내부 고발자의 신고서에 따르면, 마이크 펜스 부통령도 우크라이나 지도자들과 교류가 있었으며 그가 이번 달 초에 폴란드에서 젤렌스키 대통령을 만났다.	마이크 펜스 부통령은 우크라이나 지도자들과 상호 작용했으며 휘파람 송풍기 불만을 보여줍니다. 이번 달 이전 폴란드에서 Zelensky로 만났습니다.	마이크 펜스 부통령은 우크라이나 지도자들과 상호 작용했으며 휘파람 송풍기 불만을 보여줍니다. 이번 달 이전 폴란드에서 Zelensky로 만났습니다.	0.0
180	조 바이든이나 헌터 바이든에 대한 논의는 없었다고 그는 말했다.	그는 Joe Biden이나 Hunter Biden이 논의되지 않았다고 말했습니다.	그는 Joe Biden이나 Hunter Biden이 논의되지 않았다고 말했습니다.	0.0
181	스코틀랜드 학생 3명, 유럽 최우수 학생에 선정돼	유럽 ​​최고로 선정된 스코틀랜드 학생 3명	유럽 ​​최고의 스코틀랜드 학생들은 유럽 최고의 학생들이었습니다	0.8571
182	던디대학교 학생 3명이 유럽 지역 최우수 졸업생에 선정되었다.	던디 대학교(University of Dundee) 학생 3명이 유럽 최고의 졸업생으로 지역 수상자로 선정되었습니다.	3 명의 대학생 학생들은 지역 우승자들이 유럽 최고 졸업생으로 지명되었습니다.	1.0
183	이 던디대학교 학생들은 2019년 글로벌 대학생 어워드에서 유럽의 각 분야별 최우수 졸업생으로 선정되었고, 동 대학교의 다른 5명의 학생들은 심사위원단의 찬사를 받았다.	던디 대학교 학생들은 2019년 글로벌 학부 시상식에서 유럽 각 분야의 최고 졸업생으로 선정되었으며, 같은 대학교의 다른 5명의 학생들이 심사위원들의 찬사를 받았습니다.	던디 학생 대학 (University of Dundee) 학생들은 2019 년 글로벌 학부상의 유럽의 각 분야에서 최고 졸업생으로 지명되었으며, 같은 대학교의 5 명의 다른 학생들이 심사 위원이 칭찬을 받았는 것입니다.	0.7143
184	분자유전학과를 졸업한 스콧 셸드릭은 생명과학 분야에서 유럽 최고상을 수상했고, 정신간호학 석사 과정의 체스터 콘포드는 간호, 조산 및 응용보건학 분야, 롤라 닙은 시각 예술 분야에서 수상하였다.	분자 유전학을 졸업한 Scott Sheldrick은 유럽 생명 과학 상을, Chester Cornford는 정신 건강 간호 석사를 공부하여 간호, 조산사 및 연합 의료 상을, Lola Knibb는 시각 예술 상을 받았습니다.	Chester Cornford는 생명 과학을 졸업 한 Scott Sheldrick, Chester Cornford는 MSC 정신 건강 간호학을 연구했으며 Lola Knibb는 Visual Arts Award를 수상 했는 동안 간호, 미드 웨이 및 연합 헬스 케어 상을 수상했습니다.	0.8125
185	세 학생 모두 국제대회 결승전까지 진출했지만, 결승전에서 전세계 3,500명의 참가자 중 몇몇과 치열한 경쟁을 벌이다 탈락했다.	세 팀 모두 글로벌 결승에 진출했지만 결승전에서 전 세계 3,500명의 참가자 중 일부와 치열한 경쟁을 펼쳤습니다.	3 명 모두가 글로벌 결승에 이르게했지만, 그들은 전 세계에서 3,500 명의 참가자 중 일부에서 강력한 경쟁으로 최종 경쟁을 잃었습니다.	0.6842
186	던디대학교의 부총장인 블레어 그럽 교수는 “여기에 오기까지 본교 학생들과 졸업생들이 전세계 일류 대학교 학생들과 경쟁했다”라고 말했다.	University의 교감(교육)인 Blair Grubb 교수는 다음과 같이 말했습니다.	"대학의 Blair Grubb 교수는 ""이 단계에 도착하는 것은""우리 학생들과 졸업생들이 세계 최고 대학의 일부에 참석하는 동료들과 경쟁을 직면했습니다. """	0.8947
187	“글로벌 대학생 어워드에서는 전세계 수천 명의 학생들이 치열하게 경쟁한다. 이 시상식은 본교 학생들의 자질과 그들이 받는 교육의 수준을 잘 반영하고 있다. 수상자들 중 우리 던디대학교가 아주 큰 비율을 차지한다.”	"""Undergraduate Awards는 전 세계 수천 명의 학생들이 치열한 경쟁을 펼치고 있으며, 이는 우리 학생들의 자질과 그들이 받는 교육을 잘 반영한 것이므로 Dundee는 수상자들 사이에서 매우 강력하게 대표됩니다."	"""학부상은 전 세계의 수천 명의 학생들이 엄청나게 경쟁하며 학생들의 품질과 그들이받는 교육은 던디가 상을 수상자들 사이에서 매우 강하게 대표하는 교육입니다."""	1.0
188	“이렇게 훌륭한 성과를 이뤄낸 스콧, 체스터, 롤라 학생에게 진심으로 축하의 말을 전하고, 높은 찬사를 받은 던디대학교 대표 학생들도 축하한다.”	"""나는 이 환상적인 업적에 대해 Scott, Chester, Lola에게 큰 찬사를 보낸 다른 Dundee 대표자들과 함께 따뜻한 축하를 전하고 싶습니다."""	"""나는 스콧, 체스터와 롤라를이 환상적인 성과에 따라 스콧, 체스터와 롤라에게 제공하고, 고도로 헌신 한 다른 던디 대표들과 함께,"""	1.0
189	다른 다섯 명의 학생들은 대학생 글로벌리더 어워즈 프로그램에서 찬사를 받았다. 이 프로그램은 재학생들이 각국의 청중들과 공유하기 위해 수행한 연구 업적을 인정 받는 자리이다.	또 다른 5명의 학생은 세계 최고의 학부 상 프로그램에서 표창을 받았으며, 이 프로그램은 학부생이 이를 전 세계 청중과 공유하기 위해 완료한 최고의 작업을 인정합니다.	또 다른 5 명의 학생들은 학부생이 완성한 최고의 작업을 인정하여 글로벌 청중과 공유하는 최고의 작업을 인정하는 것입니다.	1.1765
190	찬사를 받은 다섯 명의 학생은 생명과학과의 니콜라스 갤러거, 제임스 오스본, 약학과의 페렌츠 코스케 이시카와 구타이, 해부학과의 케이틀린 스캇, 철학과의 와코 요코야마이다.	5명의 칭찬받은 학생에는 Nicholas Gallagher와 James Osbourne(둘 다 생명 과학), Ferenc Kohsuke Ishikawa Gutai(의학), Caitlyn Scott(해부 과학) 및 Waco Yokoyama(철학)가 포함되었습니다.	5 명의 칭찬 학생들이 니콜라스 갤러거와 제임스 오스본 (생명 과학), Ferenc Kohsuke Ishikawa Gutai (의약), Caitlyn Scott (해부학 과학) 및 와코 요코야마 (철학)였습니다.	0.6957
191	더 나아가 이 어워즈에서는 최고 학부 과정을 격려하고 전세계 재학생과 최근 졸업생들 간의 협력을 장려한다.	이 대회는 또한 최고의 학부 과정을 기념하고 전 세계의 학생과 최근 졸업생 간의 협력을 창출하는 데 도움이 됩니다.	경쟁은 최고 학부 과정을 기념하고 전 세계적으로 학생들과 최근 졸업생 간의 협력을 창출하는 데 도움이됩니다.	0.5333
192	토마스 쿡 연금 이사회, 지불금 회수 협상 중	Thomas Cook 연금 수탁자는 지불금을 회수하기 위해 거래를 계획합니다.	Thomas Cook Pensionees Plot Travage Payouts에 대한 플롯	0.875
193	토마스 쿡의 연금 기금 문제로 토마스 쿡과 여러 전문 보험사 사이에서 파산한 이 여행사로부터 퇴직 급여를 회수하기 위한 협상이 열렸다.	Thomas Cook의 연기금이 무너진 여행 그룹의 퇴직 계획 혜택을 구제하기 위한 거래에 대해 전문 보험사와 협상을 시작했습니다.	Thomas Cook의 연금 기금은 붕괴 된 여행 그룹의 퇴직 계획 혜택을 구제하는 데 거래에 대한 전문 보험사와의 회담을 시작했습니다.	0.4737
194	스카이뉴스 보도에 따르면, 스티브 서던 이사회 회장이 수령액이 대폭 삭감된 14,000명의 토마스 쿡 연금 상품 가입자들을 구제하는 거래 매수안을 두고 여러 당사자들과 협상을 벌이고 있다.	Sky News는 이사회 의장인 Steve Southern이 Thomas Cook의 14,000명의 연금 계획 회원 대부분이 지불금이 급격히 삭감되는 것을 피할 수 있는 매수 거래에 대해 여러 당사자와 논의하고 있음을 알게 되었습니다.	스카이 뉴스는 스티브 남부의 의장이 Thomas Cook의 14,000 명의 연금 제도 회원들이 가파른 절단에 직면하는 대부분의 Thomas Cook의 14,000 명의 연금 제도를 피할 수있는 사무 아웃 거래에 관한 여러 당사자와 회담을 맺고 있다는 것을 알게되었습니다.	0.8286
195	어떤 보험사와 협상하더라도 지불금은 연금기금이 연금보호기금(PPF) 구제기금으로 양도되면서 생기는 10%보다 더 삭감될 가능성은 없다.	보험사와의 모든 거래는 연금 제도가 PPF(연금 보호 기금) 구명 보트로 이전되면서 촉발된 10%보다 더 완만한 지불금 삭감을 수반할 것입니다.	보험사와의 모든 거래는 연금 방지 기금 (PPF) 구명정으로 연금 방지 펀드 (PPF) 구명정으로 옮겨지는 10 %보다 훨씬 겸손한 절단을 포함 할 것입니다.	0.7727
196	해당 논의는 아직 너무 초기 단계이고, (성사되더라도) 토마스 쿡 기금이 연금보호기금의 평가를 거칠 때까지는 계약이 체결되지 않을 것이다.	논의는 매우 초기 단계에 있으며 - 성공하더라도 - Thomas Cook 계획이 PPF의 평가를 통과할 때까지 거래로 이어지지 않을 것입니다.	토론은 매우 예비적인 단계에 있으며, 성공한 경우에도 Thomas Cook Schemes가 PPF의 평가를 통해 이루어질 때까지 거래를 초래할 수 없습니다.	0.6842
197	토마스 쿡 간부들이 파산 원인 규명 조사를 앞두고 있다.	토마스 쿡 사장, 붕괴 원인 조사에 직면	Thomas Cook 보스가 붕괴 된 것으로 인도하는 것에 대한 조사를 직면합니다.	0.9091
198	그게 최대 2년까지 걸릴 수 있고, 만약 기금이 양도된다 하더라도 연금보호기금이 향후 연금수령자 약 1만 명의 수령액을 10% 삭감할 것이다.	그 기간은 최대 2년이 걸릴 수 있으며, 제도가 PPF에 진입하면 약 10,000명의 미래 연금 수급자가 지불금을 10% 삭감하게 될 것입니다.	그 기간은 최대 2 년이 걸릴 수 있으며, 계획이 PPF에 들어가는 경우 대략 10,000 명의 미래의 연금 수급자가 10 %까지 절단됩니다.	0.619
199	소식통에 따르면, 다수의 연금 위험전가 전문가들뿐 아니라 신설합병 ‘슈퍼펀드’ 투자기구 중 한 곳도 토마스 쿡 이사회와 이 사안을 협상 중이다.	"소식통에 따르면 다수의 연금 위험 이전 전문가와 새로운 ""수퍼펀드"" 통합 수단 중 하나 이상이 Thomas Cook의 이사와 거래에 대해 논의 중이라고 합니다."	"소식통은 많은 연금 위험 이체 전문가뿐만 아니라 새로운 ""Superfund""통합 차량 중 적어도 하나가 거래에 관한 Thomas Cook의 관리위원회와의 대화를 겪었습니다."	0.85
200	가입자들의 급여를 보장하기 위해 이사회가 노력을 기울이고 있다는 소식이 있기 사흘 전, 영국에서 가장 오래된 여행사인 토마스 쿡의 거래가 중단되어 여행객의 국제 송환 프로그램이 도입되고 수천 명이 일자리를 잃었다.	회원의 혜택을 확보하기 위한 수탁자들의 노력에 대한 소식은 영국에서 가장 오래된 여행사가 무역을 중단하고 국제 송환 프로그램을 촉발하고 수천 명의 실직을 촉발한 지 나흘 만에 나온 것입니다.	수탁자의 혜택을 보장하려는 수탁자의 뉴스는 영국의 가장 오래된 투어 운영자가 거래를 중단하고 국제 송환 프로그램을 촉발시키고 수천의 일자리 손실을 유발 한 후 4 일 후에옵니다.	0.84
201	토마스 쿡의 몰락은 지급 불능 사태로 이어지면서 거센 비난이 일었고, 모든 이사진과 정부 각료들, 감사원들은 파산이 있기 수개월 전 자신들의 행동에 대한 해명을 요구 받았다.	Thomas Cook의 파산 위기는 이사회 구성원, 정부 장관 및 감사인 모두가 파산하기 몇 달 전에 자신의 행동을 설명하라는 요구에 직면하면서 쓰라린 비난 게임을 촉발했습니다.	토마스 요리사의 파산에 대한 토마스 요리사는 이사회 회원, 정부 장관 및 감사원이 모두 붕괴되기 전 개월 만에 그들의 행동을 설명하기위한 요구에 직면 한 쓴 비난 게임을 촉발 시켰습니다.	0.7143
202	토마스 쿡의 4대 연금 제도는 최근 수치에 따르면 PPF 기준으로 1억 파운드의 흑자를 기록하며 충분한 자금을 바탕으로 한다.	최근 수치에 따르면 회사의 4개 연금 계획은 PPF 기준으로 1억 파운드의 잉여금으로 자금이 충분합니다.	이 회사의 4 개의 연금 제도는 최신 인물에 따라 PPF 기준으로 £ 100m 잉여금을 갖추고 있습니다.	0.875
203	이를 합하면 이 회사의 자산 가치는 약 15억 파운드이다.	전체적으로 그들은 약 15억 파운드 상당의 자산을 보유하고 있습니다.	집합 적으로, 그들은 £ 1.5 억 파운드의 자산을 개최합니다.	0.8889
204	그러나 스카이뉴스가 지난달 보도한 바에 따르면, 이사회가 토마스 쿡이 제안한 구제 협상보다 더 나은 조건을 요구하면서 거래 성사가 쉽지 않아졌다.	그러나 지난달 Sky News에서 밝혔듯이 Thomas Cook이 제안한 구제 거래에서 더 나은 조건을 요구하는 수탁자들의 요구는 거래를 성사시키려는 노력을 더욱 복잡하게 만들었습니다.	그러나 지난 달에 스카이 뉴스가 밝혀진 것처럼 Thomas Cook의 제안 된 구조 거래에서 더 나은 조건에 대한 요구 사항은 거래를 통한 거래를 얻으려는 노력에 대한 추가 합병증을 추가했습니다.	0.7857
205	토마스 쿡의 청산으로 178년의 탄탄한 사업은 막을 내렸고, 이에 따라 토마스 쿡은 정부 산하의 회계 감시 기관이자 영향력 있는 의회 위원회인 파산관리청의 조사를 받게 되었다.	Thomas Cook의 청산은 178년 간의 용제 거래에 종지부를 찍었고, 정부의 파산 서비스, 회계 감시 기관 및 영향력 있는 MP 위원회의 조사가 시작되었습니다.	Thomas Cook의 청산은 178 년의 솔벤트 거래를 끝내고 정부의 파괴 서비스, 회계 워치 독 및 MPS의 영향력위원회의 문의를 촉구합니다.	0.7895
206	정부 각료들은 위기를 해결하기 위해 대책본부를 꾸렸고, 지급불능 상태 이후 자산 매각을 통해 채권단에게 쥐꼬리만한 수익이 돌아갔다.	장관들은 위기를 해결하기 위해 태스크포스를 설립했으며, 이로 인해 채권자들은 파산 후 자산 매각으로 인한 수익이 거의 발생하지 않았습니다.	장관들은 자산 사후의 자산 판매로부터 빈약 한 채권자가 돌아 오는 채권자가 남아있는 위기를 해결하기 위해 태스크 포스를 설립했습니다.	0.8333
207	지금까지도 출국한 토마스 쿡의 영국 국적 고객 중 절반 이상이 귀국하지 못했다.	현재까지 Thomas Cook의 해외 영국 고객 중 절반 미만이 비행기를 타고 귀국했습니다.	지금까지 Thomas Cook의 해외 영국 고객의 절반이 밖에 없었습니다.	0.8889
208	토마스 쿡은 정부에 2억 파운드의 긴급 자금의 규모를 줄여달라는 최후의 제안을 하고 몇 시간 안 돼 붕괴되었다.	파산은 Thomas Cook이 2억 파운드의 자금 수요를 줄이도록 대출 기관에 최후의 탄원서를 보낸 지 몇 시간 만에 발생했습니다.	Thomas Cook은 200m 자금 조달 수요를 줄이기 위해 렌더스에게 Lenders를 발행 한 후 그 붕괴가 왔습니다.	1.0
209	토마스 쿡의 무엇이 그렇게 잘못됐던 것일까?	Thomas Cook에게 무엇이 그렇게 잘못 되었습니까?	토마스 요리사에게는 그렇게 잘못 되었습니까?	0.6
210	일요일 저녁 소득 없이 끝난 협상은 반년간 15억 파운드를 잃고 거래가 악화된 후 신규 자금 10억 파운드 이상을 구해야 했던 한 회사에게 있어 절실한 최후의 순간이었다.	일요일 저녁에 거래 없이 끝난 회담은 반년 동안 15억 파운드의 손실과 거래 악화로 인해 10억 파운드 이상의 새로운 자금을 조달해야 했던 회사에게 미친듯이 마지막 주사위를 던졌습니다.	일요일 저녁에 거래가 없었지 않은 회담은 £ 15 억달의 반파 손실과 거래를 악화시키는 새로운 자금 조달에 1 억 파운드 이상을 추구해야만하는 회사의 광란의 마지막 던지를 대표했습니다.	0.8077
211	토마스 쿡은 1841년 한 32세 청년에 의해 설립되었다. 가구공이자 침례교 목사였던 그는 단돈 1실링으로 레스터에서 러프버러를 여행하는 당일 철도 여행 상품을 팔기 시작했다.	Thomas Cook은 1841년에 32세의 캐비닛 제작자이자 전 침례교 목사에 의해 설립되었습니다. 그는 레스터에서 러프버러까지 1실링의 기차 여행을 제공하기 시작했습니다.	Thomas Cook은 1841 년에 Leicester에서 실링을 위해 Loughborough 로의 1 일간의 레일 여행을 제공하기 시작한 32 세의 캐비닛 메이커와 전세 획득자 설교자가 1841 년에 설립되었습니다.	0.88
212	그 후, 회사는 세계 최대 규모의 여행업체로 성장했고, 3년 전 설립 175주년을 기념했다.	그로부터 3년 전 창립 175주년을 맞이하여 세계 최대의 휴가 회사 중 하나로 성장했습니다.	거기에서 3 년 전에 175 주년을 기념하여 세계 최대의 휴일 회사 중 하나가되었습니다.	0.7692
213	연금보호기금 대변인에 따르면, “토마스 쿡의 청산과 같은 지급불능 사태에 대비해 연금보호기금이 설립된 것이다.”	"PPF 대변인은 ""토마스 쿡의 청산과 같은 지급불능 사건이 바로 PPF가 설립된 이유""라고 말했다."	"PPF 대변인은 ""토마스 요리사의 청산과 같은 파산 이벤트가 PPF가 설정된 이유는 정확히 있습니다."""	0.6154
214	“우리는 확정 급여형 연금제도에 가입한 고객의 금융 선물을 보호하기 위해 존재하며, 그들은 우리가 보호한다는 사실에 안심해도 된다.”	"""우리는 확정 급여 연금 제도에 속한 회원들의 재정적 미래를 보호하기 위해 여기에 있으며 우리가 그들을 보호하기 위해 여기 있다는 것을 알고 위안을 받아야 합니다."""	"""우리는 정의 된 혜택 연금 제도에 소속 된 회원들의 금융 선물을 보호하기 위해 여기에 있으며, 우리가 그들을 보호하기 위해 우리가 여기에있는 것을 알고있는 위로를 가져 가야합니다."""	0.5385
215	토마스 쿡의 연금 이사회 대변인은 금요일 언급을 거부했다.	Thomas Cook의 연금 수탁자 대변인은 금요일에 논평을 거부했습니다.	Thomas Cook의 연금 수탁자를위한 대변인은 금요일에 댓글을 달았습니다.	0.375
