	Google Before	Google After	TER
79	건강하고 잘 수유중인 젊은이는 짚 침대에서 어머니와 함께 쉬기 전에 자신의 울타리에 대해 궁금해하는 것을 볼 수 있습니다.	건강하고 간호하는 젊은이들은 짚의 침대에서 그녀의 어머니와 함께 쉬기 전에 그녀의 인클로저에 대해 궁금해 할 수 있습니다.	0.5882
80	마더 루비는 2009년 낸시라는 또 다른 여성과 함께 야생 동물 공원에 합류하여 몬티와 함께 ​​공원 최초의 송아지를 낳을 수 있기를 희망했습니다.	어머니 루비 (Mother Ruby)는 2009 년에 야생 동물 공원에 낸시라는 다른 여성과 함께 낸시 (Nancy)라고 불리는 낸시가 몬티로 송아지가 송아지 송아지를 생산할 것입니다.	0.7826
81	그런 다음 Nancy는 2013년 Astrid라는 이름의 암컷을 낳았습니다. Stella는 49년 동안 공원에서 태어난 세 번째 암컷 송아지였습니다.	그런 다음 낸시는 2013 년 아스트리드라는 여성을 낳았으며 스텔라가 49 년 역사에서 공원에서 태어난 세 번째 여성 송아지가되었습니다.	0.6667
82	Cotswold Wildlife Park의 큐레이터인 Jamie Craig는 다음과 같이 말했습니다: '우리는 현재 코뿔소 무리에서 엄청난 성공을 거두었습니다.	"Cotswold Wildlife Park의 큐레이터 인 Jamie Craig는 ""우리는 현재 Rhino 무리에서 엄청난 성공을 거두었습니다."""	0.5714
83	Stella는 Nancy와 Ruby의 여섯 번째 아이이며 우리 황소 Monty는 훌륭한 아빠임이 증명되었습니다.	"""Stella는 낸시와 루비에서 여섯 번째 젊은이이고 황소, 몬티, 훌륭한 아빠 인 것으로 판명되었습니다."""	0.8462
84	'그는 지배적인 황소와 돌보는 족장의 완벽한 조합입니다.	"""그는 지배적 인 황소와 경건한 족장의 완벽한 조합입니다."""	0.625
85	'Ruby가 암컷 송아지를 낳은 것은 특히 만족스럽습니다. 이것은 번식 프로그램의 발전에 필수적이며 Stella는 결국 성공적인 어미가 되기 위해 다른 컬렉션으로 이동할 것입니다.'	"""그것은 특히 루비가 여성 종아리를 만들어 냈습니다. 이들은 육종 프로그램의 발전을 위해 필수적이며 스텔라는 결국 결국 성공적인 어머니가되기 위해 또 다른 컬렉션으로 이동할 것입니다."""	0.7083
86	Ruby는 2015년에 Ian과 2017년에 Alan이라는 두 아들을 낳았습니다.	Ruby는 2015 년에 Ian이 2015 년에 2 명의 소년을 보였습니다.	0.9
87	Alan은 여전히 ​​공원에 있고 Ian은 이탈리아 토리노 동물원에 있습니다.	앨런은 여전히 ​​공원에 있지만 이안은 이탈리아의 토리노 동물원에 있습니다.	0.4444
88	앨런은 태어난 지 일주일밖에 되지 않았을 때 몸무게가 약 11스톤이었습니다.	앨런이 일주일 였을 때, 그는 11 개의 돌 주위에 무게를 잰다.	1.0
89	포로 상태에서 출생하는 것은 극히 드문 것으로 간주됩니다.	포로의 출생은 매우 드물게 고려됩니다.	1.6
90	암컷은 2년 반에서 5년마다 번식하므로 성공적인 번식의 기회는 제한적입니다.	암컷은 2 ~ 2/5 년의 매일 5 년 만에만 재현되므로 성공적인 재생을위한 기회 창이 제한적입니다.	0.8
91	공원에 따르면 일반적인 임신 기간은 16개월에서 18개월 사이이며 그 후에 한 마리의 송아지가 태어납니다.	공원에 따르면, 일반적인 임신 기간은 16 년에서 18 개월 사이의 지속되며, 한 송아지가 태어났습니다.	0.6429
92	그것은 코끼리의 22개월의 임신 기간을 능가하는 육상 포유류 중 가장 긴 임신 기간으로 간주됩니다.	그것은 코끼리의 22 개월 임신 기간에 의해서만 능가함으로써 어떤 땅 포유류의 가장 긴 임신 기간으로 간주됩니다.	0.5
93	갓 태어난 Rhino 송아지는 출생 후 1시간 이내에 일어납니다.	신생아 Rhino 송아지는 1 시간 이내에 일어납니다.	0.7143
94	송아지는 태어나면 즉시 젖을 먹으려 하지만 처음 며칠 동안은 발이 약간 불안정할 수 있습니다.	일단 태어 났을 때, 송아지는 처음 며칠 동안 발에 조금 불안정 할 수 있지만 송아지는 젖을 끊으려고합니다.	0.8235
95	그것은 약 1 년 동안 그녀에게서 젖을 먹으며 어머니의 감시하에 남아있을 것입니다.	그것은 약 1 년 동안 그녀에게서 그녀를 흡수하는 어머니의 조심스러운 눈에 남아있을 것입니다.	0.3077
96	그들의 유대는 매우 강하며 송아지는 보호의 혜택을 받아 적어도 2년 동안 어미와 함께 있을 것입니다.	그들의 채권은 강렬하게 강한 것이고 송아지는 최소한 2 년 동안 어머니와 함께 남아 있으며, 그녀의 보호에서 이익을 얻습니다.	0.8889
97	암컷은 새끼를 공격적으로 보호하며 도전을 받으면 적을 위협합니다.	암컷은 자신의 자손을 적극적으로 가드하고 도전 한 경우 적대적을 위협하고 있습니다.	0.9091
98	세레나 윌리엄스, 윔블던 코트 손상 혐의로 $10,000 벌금 부과	Serena Williams는 윔블던 코트를 손상시키는 데 10,000 달러를 벌었습니다.	0.8889
99	테니스의 전설이자 윔블던 7회 챔피언인 세레나 윌리엄스가 라켓으로 런던 연습장을 훼손한 혐의로 1만 달러의 벌금을 부과받았다.	Serena Williams, Tennis Legend 및 Seven-Time WiMbledon 챔피언은 런던 연습 법원이 라켓과 함께 손상된 것을 혐의로 10,000 달러를 벌고 있습니다.	0.9
100	AP통신과 CNN에 따르면 윔블던 대회를 주최하는 올잉글랜드 클럽(All England Club)은 윌리엄스가 6월 30일 야외 코트에서 연습 라운드에서 부상을 입힌 것으로 알려지면서 벌금을 부과했다.	Wimbledon 토너먼트를 주최 한 모든 영국 클럽은 연관된 프레스와 CNN에 따라 6 월 30 일 외부 법원에서 연습하는 동안 손상을 입었습니다.	1.0952
101	37세의 이 테니스 스타는 화요일 Alison Riske와의 8강전에서 승리한 후 기자들과 이야기하는 동안 벌금을 으쓱하는 것처럼 보였습니다.	37 세의 테니스 스타는 화요일에 앨리슨리스 (Alison Riske)에 대한 앨리슨리스 (Alison Riske)에 대한 일치판 라운드를 획득 한 후 기자에게 말하면서 멋진 곳에서 어깨를 으 내고 있습니다.	0.8846
102	벌금에 대해 묻자 그녀는 “솔직히 생각해본 적이 없다”고 말했다.	"""나는 정말로 그것에 대해 생각하지 못했습니다.""그녀는 괜찮은 것에 대해 물어볼 때 말했습니다."	0.9167
103	방금 라켓을 던졌습니다.	방금 내 라켓을 던졌다.	0.5
104	벌금을 냈습니다.	나는 벌금이 부과된다.	1.0
105	Williams는 그것이 어떻게 피해를 입힐 수 있었는지 모른다고 말했습니다.	윌리엄스는 그녀가 그게 어떻게 손해를 줄 수 있었는지 알지 못했습니다.	0.7
106	"그녀는 기자들에게 ""내 말은, 당신이 나에게 말해줄 수 있다면 감사할 것 같다""고 말했다."	"""나는 네가 나에게 말할 수 있다면, 나는 그것을 고맙게 생각한다.""라고 그녀는 기자들에게 말했다."	0.7692
107	내 말은, 나는 항상 마음속으로 어벤져였습니다.	"""나는 항상 나는 항상 내 마음 속에 복수 자였습니다."	0.7778
108	어쩌면 나는 매우 강하다.	어쩌면 나는 슈퍼 강한 것일 수도 있습니다.	0.7143
109	모르겠어.	"나는 모른다. """	1.0
110	Williams는 24번째 그랜드 슬램 우승이 되는 8번째 Wimbledon 우승 이후입니다.	Williams는 그녀의 여덟 번째 윔블던 타이틀 이후, 그녀의 24 번째 그랜드 슬램 승리가 될 것입니다.	0.8667
111	그녀는 목요일 체코 선수 바르보라 스트리코바를 상대로 단식 준결승에 진출합니다.	그녀는 목요일에 Czech Player Barbora Strýcová에 대한 싱글 준결승을 발전시키고 있습니다.	0.9091
112	윌리엄스는 또한 US 오픈에서 경기 중 코치와 불법적으로 의사 소통을 했다고 비난한 심판으로부터 자신을 변호한 후 총 17,000달러의 벌금을 부과받았습니다.	Williams는 또한 성냥 중에 그녀의 코치와 불법적으로 의사 소통을받는 사람을 비난 한 U.S.에서 그녀가 불법적으로 의사 소통을받지 않은 미국에서 심판을 방지 한 후에 총 17,000 달러를 벌이 었습니다.	0.8571
113	"그 사건 동안 심판은 Williams에게 세 가지 규정 위반을 발표했습니다. 하나는 불법적인 코칭을 받았고, 두 번째는 좌절감에 테니스 라켓을 깨뜨린 것이었고, 세 번째는 심판과 대면하여 그를 ""도둑""이라고 불렀습니다."	"그 사건 중에 심판은 윌리엄스에게 3 개의 코드 위반을 발표했습니다. 불법 코칭을받는 사람, 좌절감에 맞는 그녀의 테니스 라켓을 깨뜨리고 심판에 직면하고 그를 ""도둑""이라고 불렀던 것입니다."	0.8
114	많은 Williams' 팬들은 스포츠 역사 전반에 걸쳐 특히 남성 선수들의 몰락을 고려할 때 심판이 그녀에게 불필요하게 가혹한 반응을 보였다고 주장했습니다.	"많은 윌리엄스의 팬들은 심판이 그녀에게 불필요하게 가혹하게 혹독했으며, 특히 남성 선수들이 ""스포츠의 역사를 통해 붕괴를 고려했다""고 주장했다."	0.8235
115	"""그보다 훨씬 더 나쁜 짓을 하는 남자가 얼마나 많은 줄 아세요?"""	"""다른 사람들이 얼마나 많은 사람들이 그보다 더 나쁜 일을하는지 아십니까?"""	1.0
116	윌리엄스는 심판과 대치 후 경기 중 코트에 입장한 US오픈 관계자들에게 말했다.	윌리엄스는 심판과의 대결을 마친 후 법원에 들어간 미국을 열었습니다.	1.1111
117	윌리엄스가 올해 윔블던에서 벌금을 부과받은 유일한 사람은 아니었지만, 그녀가 가장 많이 받은 벌금이었습니다.	Williams는 Hers가 가장 비싸지 만, 올해의 윔블던에서 벌금을받은 유일한 사람이 아니 었습니다.	1.0833
118	"이탈리아 선수 파비오 포그니니(Fabio Fognini)가 토요일 테니스 코트에서 미국 선수 테니스 샌드그렌(Tennys Sandgren)에게 3라운드에서 패한 후 ""폭탄이 터져야 한다""고 말한 혐의로 3,000달러의 벌금을 부과받았다."	"이탈리아 선수 Fabio Fognini는 토요일에 U.S. Player Tennys Sandgren에게 3 라운드를 잃은 후 테니스 코트에서 ""폭탄이 폭발""을 ""폭탄이 폭발해야한다""고 약 3,000 달러를 벌었습니다."	0.8261
119	호주의 닉 키르기오스(Nick Kyrgios)는 스포츠맨답지 않은 행위로 3,000달러와 5,000달러의 두 가지 벌금형을 받았습니다.	호주의 Nick Kyrgios는 2 개의 벌금이났다.	2.0
120	정치의 시민성: 웨스트민스터 분열에 대응하고 예의를 보여주는 정치인을 인정하기 위한 새로운 시상 제도	정치의 정중함 : 새로운 상 수상 방식은 웨스트 민스터 부문을 카운터로 설정하고 예의를 보여주는 정치인을 인정합니다.	0.8125
121	공로를 인정하는 정치인을 표창하기 위한 새로운 시상 제도가 마련되었습니다.	새로운 상을 수여하는 계획은 그들의 일에 예의를 끄는 정치인을 인식하기 위해 설립되었습니다.	1.0
122	의회가 반환된 후 웨스트민스터에서 분열된 한 주가 지난 후입니다.	그것은 의회의 반환에 따라 웨스트 민스터에서 분열 된 주간 이후입니다.	1.0
123	보리스 존슨 총리와 같은 사람들이 사용하는 언어에 대한 분노와 하원의원에 대한 위협으로 표시되었습니다.	그것은 Boris Johnson 총리의 좋아하는 언어로 인해 MPS에 대한 위협으로 표현되었다.	1.0
124	"분열에 대응하기 위해 금요일에 ""정치의 시민"" 상이 발표되었으며 올해의 정치인에게는 자선 단체에 3,000파운드가 수여되었습니다."	"부문에 부합하기 위해 ""정치의 정치""상은 금요일에 발표되었으며, 해당 연도의 정치가가 자선 단체를주기 위해 3,000 파운드를 수여하는 것입니다."	0.8824
125	보리스 존슨은 하원에서 그가 사용한 언어 어조로 비판을 받았습니다.	Boris Johnson은 Commons Chamber에서 사용한 언어의 톤을 비판 받았습니다.	0.7778
126	스튜어트 경(Lord Stewart)은 상을 발표하면서 “영국 정치가 신뢰의 위기와 시민의식의 위기에 직면해 있다는 데 모두가 동의합니다.	"Shewart, Sewart는 상을 수여합니다. ""모든 사람들은 영국의 정치가 신뢰의 위기와 정중함의 위기에 직면 해 있습니다."""	0.8667
127	"""브렉시트를 둘러싼 계속되는 논쟁에서 분열과 괴로움이 커지면서 우리는 정치가 이러한 추세를 반영하는 것이 아니라 저항함으로써 대응해야 한다고 굳게 믿습니다."	"""BREXIT 주변의 지속적인 토론에있는 부서와 쓴 민족은 정치가 이러한 추세를 미러링하지 않고 그들을 버리려함으로써 정치가 반응하지 않아도되고 있다고 믿습니다."""	0.8947
128	"""이 상은 정치적 설득이 전혀 다른 공적 삶의 사람들이 자신의 주장을 품위와 정중함으로 주장하고 분열을 넘어 사람들과 교류하고 협력할 수 있는 정치인에게 스포트라이트를 비추기 위한 작은 시도입니다. 그것은 우리 모두에게 영향을 미칩니다."""	"""이러한상은 사례와 정중함으로 사건을 주장하는 정치인들에 대한 스포트라이트를 비추고, 분할을 가로 지르는 사람들과의 스포트라이트를 비추는 것은""이러한상은 삶의 삶의 작은 시도가 적다. 그것은 우리 모두에게 영향을 미칩니다. """	1.0741
129	후보 선정은 토요일에 열리며 시상식은 내년 3월에 있을 예정이다.	후보자는 내년 3 월에 수상 의식으로 토요일에 열리게 될 것입니다.	1.0
130	"Standard와의 독점 인터뷰에서 Amber Rudd 전 내각 장관은 오늘 Johnson이 ""폭력을 선동하는"" 공격적인 언어를 사용하고 있다고 비난했습니다."	"표준과 독점적 인 인터뷰에서는 Amber Rudd 장관이 오늘날 Amber Rudd 장관이 ""폭력을 선사하는""공격적인 언어를 배치하는 Johnson을 비난했습니다."	0.7647
131	"존슨 총리는 의원들에 대한 위협을 ""개탄한다""고 말했다."	"존슨 (Johnson)은 그의 부분을 위해 MPS에 대한 ""Deprores""위협 ""을 말했습니다."	0.8
132	Jess Phillips는 '두려운'죽음의 위협을받은 후 '무서워'	Jess Phillips, '두려워'죽음의 위협을받은 후 '두려워'.	0.5
133	"존슨 총리를 비판한 또 다른 의원인 노동당 의원 제스 필립스는 목요일에 한 남성이 그녀가 ""파시스트""라고 소리치면서 그녀의 선거구 사무실을 ""차기""하려다 체포됐다고 말했다."	"목요일, 노동 MP Jess Phillips - 존슨 (Johnson) 씨를 비판받은 사람들 중 하나는 그녀가 ""파시스트 주의자""라고 생각하면서 그녀의 찬양지 사무실의 ""문을 걷어차""를 시도한 후에 남자가 체포되었다고 말했습니다."	0.9259
134	한편 자민당 대표인 조 스윈슨은 어린 자녀 중 한 명을 위협한 후 경찰에 진술했습니다.	그 사이에 자유 민주당의 지도자 조윈슨은 어린 아이들 중 한 명에게서의 위협에 따라 경찰과 이야기하고있었습니다.	0.8
135	그리고 바이러스 성 Twitter 스레드에서 노동당 상임 의원 Yvette Cooper의 딸인 Ellie Cooper는 Ms Cox의 살해 이후에 그녀의 어머니에 대한 두려움을 설명했습니다.	그리고 바이러스 트위터 스레드에서 엘리 쿠퍼 (Ellie Cooper)는 수석 노동력의 딸였습니다. MP Took coper는 MS Cox의 살인의 일로 인해 어머니를위한 그녀의 두려움을 묘사했습니다.	0.7826
136	"그녀는 존슨 총리가 ""의원에 대한 폭력을 조장하는 데 도움이 되는 언어를 사용하고 있다""고 비난했다."	"그녀는 ""MPS에 폭력을 돕는 언어 사용""의 Johnson을 ""MPS에 보관하는 데 도움이됩니다."""	1.0909
137	David Attenborough 동물 및 색상에 대한 새로운 다큐멘터리 작업	David Attenborough 동물 및 색상에 대한 새로운 다큐멘터리 작업	0.0
138	데이비드 attenborough는 93 세이지만 상징적 인 자연 전문가가 아직 둔화되지 않습니다.	데이비드 attenborough는 93 세이지만 상징적 인 자연 전문가가 아직 둔화되지 않습니다.	0.0
139	아니요, 그의 획기적인 Netflix 다큐멘터리의 성공 후 우리 행성은 많은 사랑받는 별이 다른 시리즈로 돌아갈 것입니다 : 삶의 색상.	아니요, 그의 획기적인 Netflix 다큐멘터리의 성공 후 우리 행성은 많은 사랑받는 별이 다른 시리즈로 돌아갈 것입니다 : 삶의 색상.	0.0
140	이번에는 아버지 두 사람이 동물을 위해 특별한 기술 카메라를 통해 그들의 삶에서 동물을 사용하는 방법을 살펴 보겠습니다.	이번에는 아버지 두 사람이 동물을 위해 특별한 기술 카메라를 통해 그들의 삶에서 동물을 사용하는 방법을 살펴 보겠습니다.	0.0
141	"BBC는 별이 ""인간의 눈에 보이지 않는 색상의 세계""를 보여주는 것을 목표로하고 진정으로 매혹적인 것으로 들린다."	"BBC는 별이 ""인간의 눈에 보이지 않는 색상의 세계""를 보여주는 것을 목표로하고 진정으로 매혹적인 것으로 들린다."	0.0
142	그러나 팬들이 다가오는 방출을 위해 열심이 있음에도 불구하고, 우리는 우리 모두가 2021 년까지 우리 화면을 떨어 뜨리지 않을 것처럼 꽉 앉을 필요가있는 것 같습니다.	그러나 팬들이 다가오는 방출을 위해 열심이 있음에도 불구하고, 우리는 우리 모두가 2021 년까지 우리 화면을 떨어 뜨리지 않을 것처럼 꽉 앉을 필요가있는 것 같습니다.	0.0
143	그러나 우리는 그것이 기다릴만한 가치가있을 것입니다.	그러나 우리는 그것이 기다릴만한 가치가있을 것입니다.	0.0
144	이번 달 이전에 David는 런던의 명성 의식에서 TV Choice Lifetime Achievement Award와 함께 제공되었습니다.	이번 달 이전에 David는 런던의 명성 의식에서 TV Choice Lifetime Achievement Award와 함께 제공되었습니다.	0.0
145	국보는 60 년 동안이기 때문에 경력을 쌓았습니다.	국보는 60 년 동안이기 때문에 경력을 쌓았습니다.	0.0
146	"그의 공을 수집 할 때 기자들은 ""실제로,"	"그의 공을 수집 할 때 기자들은 ""실제로,"	0.0
147	내가하는 일은 항상 재미 있지 않고 때로는 사람들이 좋아하지 않는 것을 듣는 것입니다!	"내가하는 일은 항상 재미 있지 않고 때로는 사람들이 그들이 좋아하지 않는 것을 듣습니다! """	0.2143
148	"""그러나 이것은 명예와 큰 기쁨입니다."""	"""그러나 이것은 명예와 큰 기쁨입니다."""	0.0
149	"TV 선택은 우승자에게 ""아직도 일하고, 배우고, David Attenborough 선생님이 영국의 영웅이 아니라 글로벌 아이콘입니다."""	"TV 선택은 우승자에게 ""아직도 일하고, 배우고, David Attenborough 선생님이 영국의 영웅이 아니라 글로벌 아이콘입니다."""	0.0
150	이번 주, 다윗은 극지 연구 선박이 그 사람의 이름을 딴 것처럼 다시 한 번 축하 받았습니다.	이번 주, 다윗은 극지 연구 선박이 그 사람의 이름을 딴 것처럼 다시 한 번 축하 받았습니다.	0.0
151	별은 Birkenhead, Merseyside의 Cammell Laird Shipyard에서의 명명 행사에 대한 프린스 윌리엄과 케이트 모두에 합류했습니다.	별은 Birkenhead, Merseyside의 Cammell Laird Shipyard에서의 명명 행사에 대한 프린스 윌리엄과 케이트 모두에 합류했습니다.	0.0
152	"그는 이렇게 말했습니다. ""세상이 위대하고 위대한 문제와 가장 인식하는 것은 오늘의 젊은이 들이이 세상을 상속받을 것입니다."	"그는 이렇게 말했습니다. ""세상이 위대하고 위대한 문제와 가장 인식하는 것은이 세상을 상속받을 수있는 젊은이들입니다."""	0.4286
153	"""큰 문제는 그들을 해결하기 위해 훌륭한 연구와 사실이 필요합니다."	"""큰 문제는 그들을 해결하기 위해 훌륭한 연구와 사실이 필요합니다."""	0.1111
154	"""이는이 놀라운 배가 오늘날이 될 것입니다. 오늘날 세계에 직면하고있는 문제를 다루는 문제를 다루는 과학을 찾고 내일 점점 더 많은 일을 할 것입니다."""	"""이는이 놀라운 배가 오늘날이 될 것입니다. 오늘날 세계에 직면하고있는 문제를 다루는 문제를 다루는 과학을 찾고 내일 점점 더 많은 일을 할 것입니다."""	0.0
155	생명은 2021 년에 BBC 2에서 2 개에서 공기가 예상되는 반면 Netflix는 글로벌 권리를 유지할 것으로 예상됩니다.	생명은 2021 년에 BBC 2에서 2 개에서 공기가 예상되는 반면 Netflix는 글로벌 권리를 유지할 것으로 예상됩니다.	0.0
156	우크라이나 스캔들 : Pelosi는 'Rogue'라고 말합니다. 전 미국 공무원 등 조사	우크라이나 스캔들 : Pelosi는 'Rogue'라고 말합니다. 전 미국 공무원 등 조사	0.0
157	"하우스 스피커 낸시 펠로시는 미국 변호사 총리 윌리엄 바로 (William Barr) 금요일의 금요일의 ""Rogue""의 논쟁의 지도자와의 논란의 지도자와의 논란 의지력 전화를 통해 논쟁의 여지가있는 전화를 통해 ""Rogue""를 보호합니다."	"하우스 스피커 낸시 펠로시는 미국 변호사 총리 윌리엄 바로 (William Barr) 금요일의 금요일의 ""Rogue""의 논쟁의 지도자와의 논란의 지도자와의 논란 의지력 전화를 통해 논쟁의 여지가있는 전화를 통해 ""Rogue""를 보호합니다."	0.0
158	캘리포니아 민주당의 말은 미확인 지능 공무원이 인텔리전스 커뮤니티 검사원 일반 Michael Atkinson에 대한 불만 사항을 제출 한 불만 사항의 ​​발표를 따른다.	캘리포니아 민주당의 말은 미확인 지능 공무원이 인텔리전스 커뮤니티 검사원 일반 Michael Atkinson에 대한 불만 사항을 제출 한 불만 사항의 ​​발표를 따른다.	0.0
159	Atkinson은 국가 정보 감독 Joseph Maguire로 전환했습니다.	Atkinson은 국가 정보 감독 Joseph Maguire로 전환했습니다.	0.0
160	Barr은 7 월 25 일 전화 통화에서 여러 번 언급되어 있으며, 트럼프 변호사 루돌리아니아입니다.	Barr은 7 월 25 일 전화 통화에서 여러 번 언급되어 있으며, 트럼프 변호사 루돌리아니아입니다.	0.0
161	"불만 사항은 백악관 관계자들이 통화 기록을 ""잠금 해제""하려고 시도 할만 큼 충분히 우려되었다고 말했습니다."	"불만 사항은 백악관 관계자들이 통화 기록을 ""잠금 해제""하려고 시도 할만 큼 충분히 우려되었다고 말했습니다."	0.0
162	"""[Barr가있다]가 불량배""라고 Pelosi는 MSNBC 금요일을 말했습니다."	"""[Barr가있다]가 불량배""라고 Pelosi는 MSNBC 금요일을 말했습니다."	0.0
163	나는 그들이 어디로 가는지는 표지의 표지 인 것입니다.	나는 그들이 어디로 가는지는 표지의 표지 인 것입니다.	0.0
164	나는 그것이 슬프다고 생각합니다. 정의 부서가 너무 불량배가되어 있습니다.	나는 그것이 슬프다고 생각합니다. 정의 부서가 너무 불량배가되어 있습니다.	0.0
165	글쎄, 그들은 잠시 동안 왔습니다. 그리고 이제는 사안을 더욱 악화시킵니다.	글쎄, 그들은 잠시 동안 왔습니다. 그리고 이제는 사안을 더욱 악화시킵니다.	0.0
166	펠로시 (Pelosi)는 트럼프가 우크라이나에 군사 원조를 보류 한 후에 공식 탄핵 수사를 발표했다.	펠로시 (Pelosi)는 트럼프가 우크라이나에 군사 원조를 보류 한 후에 공식 탄핵 수사를 발표했다.	0.0
167	이 원조는 궁극적으로 부여되었지만 하우스 민주당은 Zelensky를 5 년 동안 우크라이나 가스 회사에서 일하는 사냥꾼 Biden을 조사하기 위해 Zelensky를 요구하는지 여부를 알고 싶어합니다.	이 원조는 궁극적으로 부여되었지만 하우스 민주당은 Zelensky를 5 년 동안 우크라이나 가스 회사에서 일하는 사냥꾼 Biden을 조사하기 위해 Zelensky를 요구하는지 여부를 알고 싶어합니다.	0.0
168	또한 금요일, 거의 300 명의 전 미국 외교 정책과 국가 안보 공무원이 탄핵 조사를 지원하는 서한에 서명했다.	또한 금요일, 거의 300 명의 전 미국 외교 정책과 국가 안보 공무원이 탄핵 조사를 지원하는 서한에 서명했다.	0.0
169	"연합성은 트럼프의 행동이 ""심오한 국가 안보 문제""를 구성한다고 말했다."	"연합성은 트럼프의 행동이 ""심오한 국가 안보 문제""를 구성한다고 말했다."	0.0
170	"""우리는 필요한 경로를 우리를 시작한 연사 펠로시 (Pelosi)를 포함하여 회원들의 회원들에게 박수를 보냈다."	"""우리는 필요한 경로를 우리를 시작한 연사 펠로시 (Pelosi)를 포함하여 회원들의 회원들에게 박수를 보냈다."	0.0
171	트럼프 대통령은 땅에서 가장 높은 사무실의 권위와 자원을 활용하여 민주적 과정에 추가적인 외국 간섭을 초래 한 것으로 보입니다.	트럼프 대통령은 땅에서 가장 높은 사무실의 권위와 자원을 활용하여 민주적 과정에 추가적인 외국 간섭을 초래 한 것으로 보입니다.	0.0
172	그건 힘의 불확실한 남용을 구성 할 것입니다.	"그것은 힘의 불능의 남용을 구성 할 것입니다. """	0.375
173	"""그것은 또한 미국의 국가 이익과 우리의 가장 가까운 동맹국과 파트너의 사람들을 대통령의 개인적인 정치적 이익을 위해 노력할 것입니다."""	"""그것은 또한 미국의 국가 이익과 우리의 가장 가까운 동맹국과 파트너의 사람들을 대통령의 개인적인 정치적 이익을 위해 노력할 것입니다."""	0.0
174	트럼프는 전화 통화에 부적절한 흥미가 있음을 거부했습니다.	트럼프는 전화 통화에 부적절한 흥미가 있음을 거부했습니다.	0.0
175	"금요일, 그는 신청인을 비난했고 Zelensky와의 전화가 ""완벽한 대화""라고 말했습니다."	"금요일, 그는 신청인을 비난했고 Zelensky와의 전화가 ""완벽한 대화""라고 말했습니다."	0.0
